epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,4123.83,0.06974,0.45647,0.26492,0.94051,0.92807,0.96588,0.66806,0.07194,0.40503,0.2607,0.00180728,0.00180728,0.00180728
139,4153.11,0.07067,0.45789,0.25977,0.96043,0.94116,0.97221,0.66913,0.07138,0.38955,0.25969,0.00176784,0.00176784,0.00176784
140,4182.45,0.07088,0.45429,0.2615,0.95474,0.94197,0.97066,0.67457,0.06992,0.38862,0.25269,0.00172841,0.00172841,0.00172841
141,4212.4,0.0709,0.47512,0.26233,0.95731,0.93041,0.96987,0.67065,0.071,0.39171,0.25642,0.00168897,0.00168897,0.00168897
142,4241.64,0.07029,0.45466,0.25904,0.95969,0.92388,0.96255,0.66089,0.07162,0.39894,0.25801,0.00164954,0.00164954,0.00164954
143,4270.76,0.07066,0.45891,0.26246,0.9655,0.92774,0.96469,0.6528,0.07143,0.40112,0.26009,0.0016101,0.0016101,0.0016101
144,4300.74,0.0693,0.44388,0.25956,0.95436,0.93609,0.96737,0.66374,0.07113,0.39574,0.25755,0.00157066,0.00157066,0.00157066
145,4329.95,0.06975,0.45108,0.25797,0.96459,0.92428,0.9677,0.67371,0.07037,0.38498,0.25324,0.00153123,0.00153123,0.00153123
146,4359.04,0.06886,0.4419,0.25898,0.95979,0.94373,0.9716,0.68052,0.06951,0.38216,0.25169,0.00149179,0.00149179,0.00149179
147,4388.94,0.06873,0.44575,0.25811,0.95339,0.94237,0.96822,0.68324,0.06845,0.37858,0.25113,0.00145236,0.00145236,0.00145236
148,4418.7,0.06744,0.43584,0.25417,0.94894,0.94184,0.96599,0.6819,0.06974,0.37974,0.25443,0.00141292,0.00141292,0.00141292
149,4447.77,0.0679,0.4331,0.25373,0.96552,0.93257,0.96642,0.68321,0.06963,0.3789,0.25235,0.00137349,0.00137349,0.00137349
150,4477.62,0.06763,0.42985,0.25373,0.94833,0.942,0.96899,0.67566,0.06948,0.3788,0.25433,0.00133405,0.00133405,0.00133405
151,4507.82,0.06921,0.44599,0.25769,0.94982,0.93695,0.96981,0.6839,0.0687,0.38356,0.25128,0.00129461,0.00129461,0.00129461
152,4536.95,0.0665,0.4232,0.25194,0.9614,0.9305,0.96744,0.68287,0.06864,0.38337,0.25216,0.00125518,0.00125518,0.00125518
153,4566.06,0.0676,0.43543,0.25371,0.96709,0.92215,0.96881,0.68091,0.06887,0.38769,0.24932,0.00121574,0.00121574,0.00121574
154,4595.55,0.06664,0.42716,0.2528,0.94725,0.93457,0.97048,0.68563,0.06801,0.38071,0.24835,0.00117631,0.00117631,0.00117631
155,4625.33,0.06758,0.4337,0.2538,0.9649,0.93518,0.9725,0.68496,0.06826,0.37577,0.2516,0.00113687,0.00113687,0.00113687
156,4654.67,0.06694,0.42463,0.25294,0.96259,0.93203,0.97139,0.67894,0.06895,0.37304,0.25401,0.00109743,0.00109743,0.00109743
157,4683.78,0.06548,0.41717,0.24928,0.95077,0.94252,0.96997,0.68303,0.06843,0.37512,0.25162,0.001058,0.001058,0.001058
158,4713.91,0.06662,0.42977,0.25336,0.95397,0.93466,0.9671,0.68327,0.06827,0.37848,0.25014,0.00101856,0.00101856,0.00101856
159,4742.94,0.06379,0.4115,0.24709,0.96423,0.93294,0.96683,0.68974,0.06754,0.37649,0.24718,0.000979126,0.000979126,0.000979126
160,4772.15,0.06385,0.40359,0.24282,0.95475,0.93523,0.96779,0.68842,0.06697,0.3723,0.24648,0.000974142,0.000974142,0.000974142
161,4801.38,0.06492,0.41743,0.24848,0.95151,0.94066,0.97029,0.68719,0.06741,0.36754,0.24861,0.000934923,0.000934923,0.000934923
162,4831.91,0.06415,0.40505,0.24758,0.95428,0.93831,0.96861,0.68867,0.06816,0.36502,0.24853,0.000895704,0.000895704,0.000895704
163,4861.09,0.06276,0.40573,0.24427,0.9612,0.93643,0.97139,0.68194,0.06816,0.36172,0.24807,0.000856485,0.000856485,0.000856485
164,4890.24,0.06418,0.41012,0.24726,0.95946,0.93574,0.97167,0.68258,0.06798,0.36518,0.24888,0.000817265,0.000817265,0.000817265
165,4920.06,0.06397,0.40671,0.24801,0.95978,0.94253,0.97036,0.69109,0.06744,0.36851,0.24878,0.000778046,0.000778046,0.000778046
166,4949.82,0.06211,0.39789,0.24153,0.96321,0.93098,0.97285,0.69203,0.06747,0.36101,0.24798,0.000738827,0.000738827,0.000738827
167,4978.93,0.06332,0.40262,0.24607,0.96106,0.9361,0.97073,0.69292,0.06709,0.36245,0.24806,0.000699608,0.000699608,0.000699608
168,5009.35,0.06266,0.40802,0.24318,0.955,0.9469,0.97352,0.69298,0.06709,0.35815,0.24715,0.000660388,0.000660388,0.000660388
169,5038.97,0.06211,0.39919,0.24175,0.96786,0.93472,0.97431,0.69686,0.06685,0.35507,0.24689,0.000621169,0.000621169,0.000621169
170,5068.2,0.0616,0.39715,0.24214,0.96798,0.93533,0.97402,0.69847,0.06703,0.35383,0.24728,0.00058195,0.00058195,0.00058195
171,5097.49,0.06157,0.39498,0.23998,0.9584,0.94426,0.97225,0.69555,0.06705,0.35764,0.24716,0.000542731,0.000542731,0.000542731
172,5127.41,0.06167,0.40045,0.24136,0.96128,0.94696,0.97431,0.69791,0.06688,0.35742,0.24721,0.000503512,0.000503512,0.000503512
173,5158.07,0.0602,0.34105,0.23759,0.96674,0.94192,0.9734,0.69319,0.06673,0.35875,0.24638,0.000464292,0.000464292,0.000464292
